dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
ACSF1,0.68,0.9,0.73,0.71,0.09,,0.14,0.15,0.74,0.8200000000000001,0.8200000000000001,0.86,0.67,0.65,0.63,0.65,0.71,0.91,0.75,0.68
AtrialFibrillation,0.2,0.2,0.1333333333,0.2666666667,0.4,0.33333333330000003,0.4666666667,0.2,0.4666666667,0.4,0.1333333333,0.4666666667,0.2,0.2666666667,0.33333333330000003,0.0666666667,0.4666666667,0.2666666667,0.33333333330000003,0.2666666667
BasicMotions,0.45,1.0,0.85,1.0,0.25,0.75,0.5,0.5,,,,,0.775,1.0,0.975,1.0,0.6000000000000001,1.0,1.0,1.0
Beef,0.2666666667,0.8,0.2,0.5333333333,0.2333333333,0.30000000000000004,0.2333333333,0.1333333333,0.2,0.8,0.36666666670000003,0.4666666667,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7333333333000001,0.1333333333,0.8,0.2333333333,0.4
Car,0.3166666667,0.8333333333,0.3166666667,0.4333333333,0.4666666667,0.4833333333,0.30000000000000004,0.30000000000000004,0.33333333330000003,0.8166666667,0.45,0.5833333333,0.6000000000000001,0.7166666667,0.6833333333,0.65,0.3166666667,0.8666666667,0.3166666667,0.3166666667
Chinatown,0.2740524781,0.9504373178000001,0.6151603499,0.7259475219,0.3498542274,0.9737609329,0.43440233240000004,0.9795918367,0.38483965010000004,0.970845481,0.7259475219,0.7463556851,0.9620991254000001,0.9650145773000001,0.9854227405,0.9825072886,0.2740524781,0.9475218659,0.2740524781,0.2740524781
CinCECGTorso,0.3210144928,0.7963768116000001,0.32753623190000003,0.31086956520000003,,,,,0.2586956522,0.9173913043,0.3615942029,0.5028985507,0.5050724638,0.9079710145000001,0.6144927536,0.7434782609,0.6355072464,0.9608695652,0.8195652174,0.6862318841
Coffee,0.5357142857,1.0,0.9642857143,0.9642857143,0.6428571429000001,1.0,0.5714285714,0.7142857143,0.7142857143,0.9285714286000001,0.8571428571,0.9642857143,0.8928571429000001,1.0,0.8571428571,0.8214285714,0.5357142857,1.0,0.9285714286000001,0.6428571429000001
Computers,0.664,0.6920000000000001,0.684,0.676,0.5760000000000001,0.608,0.528,0.52,0.608,0.6880000000000001,0.62,0.652,0.6960000000000001,0.712,0.704,0.712,0.488,0.72,0.664,0.704
Cricket,0.125,1.0,0.7222222222,0.8333333333,,,,,,,,,0.8194444444000001,0.9166666667000001,0.8611111111,0.9305555556,0.47222222220000004,0.9861111111,0.5833333333,0.7916666667000001
DuckDuckGeese,,,,,,,,,,,,,0.28,0.26,0.34,0.32,,,,
ECG200,0.37,0.8300000000000001,0.39,0.37,0.65,0.9,0.77,0.49,0.64,0.86,0.81,0.77,0.8200000000000001,0.85,0.86,0.88,0.58,0.85,0.45,0.43
ECG5000,0.3537777778,0.9417777778,0.6128888889,0.8295555556,0.59,0.6075555556000001,0.5851111111,0.5837777778000001,0.7644444444,0.9388888889,0.882,0.9117777778,0.926,0.9364444444000001,0.9231111111,0.9166666667000001,0.5702222222000001,0.9402222222000001,0.8086666667,0.7544444444
ECGFiveDays,0.5807200929,1.0,0.5029036005,0.5029036005,0.524970964,0.8513356562000001,0.5772357724,0.5644599303,0.5029036005,0.9988385598,0.6120789779,0.6376306620000001,0.6051103368,0.9210220674,0.6109175377,0.5946573751,0.537746806,0.9988385598,0.5331010453,0.5458768873000001
EOGHorizontalSignal,0.07182320440000001,0.4751381215,0.091160221,0.21270718230000002,0.0745856354,,0.0662983425,0.0552486188,0.0856353591,0.4723756906,0.0828729282,0.21270718230000002,0.10497237570000001,0.5138121547,0.0828729282,0.1906077348,0.06353591160000001,0.4779005525,0.11325966850000001,0.1243093923
EOGVerticalSignal,0.0994475138,0.42265193370000004,0.0994475138,0.1491712707,,,,,0.07182320440000001,0.38674033150000003,0.0883977901,0.2209944751,0.0883977901,0.45303867400000003,0.091160221,0.20994475140000002,0.058011049700000004,0.31767955800000003,0.0883977901,0.0856353591
ERing,0.28888888890000003,0.8962962963000001,0.32962962960000003,0.4407407407,0.16296296300000002,0.5074074074,0.2407407407,0.24444444440000002,,,,,0.6148148148,0.9518518519,0.762962963,0.8444444444,0.3222222222,0.9518518519,0.4444444444,0.5555555556
Earthquakes,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7553956835000001,0.7482014388,0.7482014388,0.6115107914,0.6474820144,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7482014388,0.7410071942,0.7410071942
