dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
ACSF1,0.8476190476190476,0.8181818181818182,0.7702127659574468,0.7050847457627119,0.8198019801980198,,0.6754716981132076,0.5565217391304347,0.8555555555555555,0.6949152542372883,0.8105263157894738,0.8090909090909091,0.8465116279069768,0.4814814814814815,0.7403508771929825,0.676923076923077,0.8512820512820513,0.834862385321101,0.7777777777777778,0.6903225806451613
AtrialFibrillation,0.8222222222222222,0.11111111111111105,0.6749999999976563,0.574193548392716,0.8285714285714285,0.19999999997599993,0.7090909090958677,0.5636363636363637,0.8315789473700831,0.2500000000000001,0.6749999999976563,0.61600000000864,0.8222222222222222,0.1538461538683431,0.692307692304142,0.5459459459498905,0.8315789473700831,0.1538461538683431,0.692307692304142,0.574193548392716
BasicMotions,0.8307692307692307,1.0,0.8285714285714285,1.0,0.8235294117647058,0.6,0.7142857142857142,0.625,,,,,0.8615384615384616,1.0,0.9555555555555555,1.0,0.84,1.0,1.0,1.0
Beef,0.82400000000096,0.6666666666666667,0.6799999999999999,0.6347826086854442,0.8230769230760355,0.17647058823529416,0.6827586206868015,0.5542857142813061,0.8222222222222222,0.6666666666666667,0.69600000000384,0.61600000000864,0.85,0.5384615384615385,0.76,0.7176470588048444,0.8206896551717003,0.6666666666666667,0.6827586206868015,0.6
Car,0.8255319148947035,0.7142857142367347,0.6905660377392666,0.6076923076843196,0.8315789473700831,0.31868131865233673,0.6888888888888889,0.5800000000000001,0.8260869565206049,0.6901408451180322,0.7066666666666666,0.6511627906859925,0.84,0.5584415584820375,0.7548387096674297,0.676923076923077,0.8255319148947035,0.7647058824048443,0.6905660377392666,0.5830508474638323
Chinatown,0.7940446650110342,0.905555555584139,0.6969001148247593,0.6851206373861478,0.797395517867704,0.9488636362789272,0.6532618409366329,0.9613173026036468,0.7991751269011143,0.9433427761103773,0.7385257301963324,0.6990323032831676,0.9423929099376883,0.932394366272846,0.9724517905893572,0.966593935691767,0.7940446650110342,0.9002770083297258,0.6280806572023943,0.5098294804529727
CinCECGTorso,0.8256744186061797,0.6616496086774795,0.6916943521611439,0.5819780219748224,,,,,0.8237726098198586,0.8473895581513202,0.695419187554184,0.625818181811202,0.8336175395876726,0.8314532183266853,0.7366336633609254,0.723437500017688,0.8430577223110418,0.9246861924364069,0.8102857142905208,0.693270366017721
Coffee,0.8354430379737863,1.0,0.9393939394145087,0.9361702127887732,0.8437500000041016,1.0,0.7272727272669421,0.7073170731782272,0.8518518518537723,0.8666666667164445,0.8333333333041667,0.9361702127887732,0.8965517241579073,1.0,0.8333333333041667,0.7761194029626197,0.8354430379737863,1.0,0.8947368421362882,0.6739130434961248
Computers,0.8458715596330275,0.5290519877675841,0.7550387596899225,0.6884615384615385,0.8381679389312977,0.4367816091954022,0.719047619047619,0.6307692307692307,0.840650406504065,0.524390243902439,0.7379310344827585,0.6777777777777778,0.8495049504950495,0.5527950310559006,0.7612903225806451,0.7061224489795919,0.8326797385620914,0.5625,0.7492537313432837,0.702013422818792
Cricket,0.8205128205128205,1.0,0.7674418604573283,0.7857142856867347,,,,,,,,,0.8712871287015783,0.846153846210651,0.836065573762752,0.8872180451713947,0.8318584070785182,0.9726027397044099,0.7297297297227173,0.7540983606789573
