dataset,classifier,test_ds_score,revealed_pct,revealed_pct_actual,train_size,test_size,num_classes,type,num_dim,balanced,train_length
AtrialFibrillation,PForest,0.4,10,10,15,15,3,ECG,2,True,64
AtrialFibrillation,PForest,0.2,30,30,15,15,3,ECG,2,True,192
AtrialFibrillation,PForest,0.4666666667,20,20,15,15,3,ECG,2,True,128
AtrialFibrillation,PForest,0.33333333330000003,100,100,15,15,3,ECG,2,True,640
AtrialFibrillation,TSF,0.33333333330000003,20,20,15,15,3,ECG,2,True,128
AtrialFibrillation,TSF,0.0666666667,30,30,15,15,3,ECG,2,True,192
AtrialFibrillation,TSF,0.2666666667,100,100,15,15,3,ECG,2,True,640
AtrialFibrillation,TSF,0.2,10,10,15,15,3,ECG,2,True,64
AtrialFibrillation,CBoss,0.1333333333,20,20,15,15,3,ECG,2,True,128
AtrialFibrillation,CBoss,0.2666666667,30,30,15,15,3,ECG,2,True,192
AtrialFibrillation,CBoss,0.2,10,10,15,15,3,ECG,2,True,64
AtrialFibrillation,CBoss,0.2,100,100,15,15,3,ECG,2,True,640
AtrialFibrillation,WEASEL,0.4666666667,10,10,15,15,3,ECG,2,True,64
AtrialFibrillation,WEASEL,0.33333333330000003,20,20,15,15,3,ECG,2,True,128
AtrialFibrillation,WEASEL,0.2666666667,30,30,15,15,3,ECG,2,True,192
AtrialFibrillation,WEASEL,0.2666666667,100,100,15,15,3,ECG,2,True,640
AtrialFibrillation,ST,0.1333333333,20,20,15,15,3,ECG,2,True,128
AtrialFibrillation,ST,0.4,100,100,15,15,3,ECG,2,True,640
AtrialFibrillation,ST,0.4666666667,10,10,15,15,3,ECG,2,True,64
AtrialFibrillation,ST,0.4666666667,30,30,15,15,3,ECG,2,True,192
Beef,TSF,0.7333333333000001,30,30,30,30,5,SPECTRO,1,True,141
Beef,TSF,0.7000000000000001,10,10,30,30,5,SPECTRO,1,True,47
Beef,TSF,0.7000000000000001,100,100,30,30,5,SPECTRO,1,True,470
Beef,TSF,0.7000000000000001,20,20,30,30,5,SPECTRO,1,True,94
Beef,ST,0.4666666667,30,30,30,30,5,SPECTRO,1,True,141
Beef,ST,0.36666666670000003,20,20,30,30,5,SPECTRO,1,True,94
Beef,ST,0.8,100,100,30,30,5,SPECTRO,1,True,470
Beef,ST,0.2,10,10,30,30,5,SPECTRO,1,True,47
Beef,WEASEL,0.8,100,100,30,30,5,SPECTRO,1,True,470
Beef,CBoss,0.5333333333,30,30,30,30,5,SPECTRO,1,True,141
Beef,CBoss,0.8,100,100,30,30,5,SPECTRO,1,True,470
Beef,CBoss,0.2666666667,10,10,30,30,5,SPECTRO,1,True,47
Beef,CBoss,0.2,20,20,30,30,5,SPECTRO,1,True,94
Beef,PForest,0.2333333333,10,10,30,30,5,SPECTRO,1,True,47
Beef,PForest,0.2333333333,20,20,30,30,5,SPECTRO,1,True,94
Beef,PForest,0.1333333333,30,30,30,30,5,SPECTRO,1,True,141
Beef,PForest,0.30000000000000004,100,100,30,30,5,SPECTRO,1,True,470
Beef,WEASEL,0.2333333333,20,20,30,30,5,SPECTRO,1,True,94
Beef,WEASEL,0.4,30,30,30,30,5,SPECTRO,1,True,141
Beef,WEASEL,0.1333333333,10,10,30,30,5,SPECTRO,1,True,47
Car,TSF,0.7166666667,100,100,60,60,4,SENSOR,1,True,577
Car,TSF,0.65,30,30,60,60,4,SENSOR,1,True,174
Car,TSF,0.6000000000000001,10,10,60,60,4,SENSOR,1,True,58
Car,TSF,0.6833333333,20,20,60,60,4,SENSOR,1,True,116
Car,ST,0.33333333330000003,10,10,60,60,4,SENSOR,1,True,58
Car,ST,0.5833333333,30,30,60,60,4,SENSOR,1,True,174
Car,ST,0.8166666667,100,100,60,60,4,SENSOR,1,True,577
Car,ST,0.45,20,20,60,60,4,SENSOR,1,True,116
Car,WEASEL,0.3166666667,10,10,60,60,4,SENSOR,1,True,58
Car,WEASEL,0.8666666667,100,100,60,60,4,SENSOR,1,True,577
Car,WEASEL,0.3166666667,20,20,60,60,4,SENSOR,1,True,116
Car,WEASEL,0.3166666667,30,30,60,60,4,SENSOR,1,True,174
Car,CBoss,0.4333333333,30,30,60,60,4,SENSOR,1,True,174
Car,CBoss,0.3166666667,10,10,60,60,4,SENSOR,1,True,58
Car,CBoss,0.3166666667,20,20,60,60,4,SENSOR,1,True,116
Car,CBoss,0.8333333333,100,100,60,60,4,SENSOR,1,True,577
Car,PForest,0.4833333333,100,100,60,60,4,SENSOR,1,True,577
Car,PForest,0.4666666667,10,10,60,60,4,SENSOR,1,True,58
Car,PForest,0.30000000000000004,30,30,60,60,4,SENSOR,1,True,174
Car,PForest,0.30000000000000004,20,20,60,60,4,SENSOR,1,True,116
Chinatown,PForest,0.9795918367,30,37,20,345,2,Traffic,1,True,9
Chinatown,PForest,0.3498542274,10,12,20,345,2,Traffic,1,True,3
Chinatown,PForest,0.43440233240000004,20,25,20,345,2,Traffic,1,True,6
Chinatown,PForest,0.9737609329,100,100,20,345,2,Traffic,1,True,24
Chinatown,ST,0.970845481,100,100,20,345,2,Traffic,1,True,24
Chinatown,ST,0.7463556851,30,37,20,345,2,Traffic,1,True,9
Chinatown,ST,0.7259475219,20,25,20,345,2,Traffic,1,True,6
Chinatown,ST,0.38483965010000004,10,12,20,345,2,Traffic,1,True,3
Chinatown,WEASEL,0.9475218659,100,100,20,345,2,Traffic,1,True,24
Chinatown,WEASEL,0.2740524781,10,12,20,345,2,Traffic,1,True,3
Chinatown,WEASEL,0.2740524781,20,25,20,345,2,Traffic,1,True,6
Chinatown,WEASEL,0.2740524781,30,37,20,345,2,Traffic,1,True,9
Chinatown,CBoss,0.7259475219,30,37,20,345,2,Traffic,1,True,9
Chinatown,CBoss,0.9504373178000001,100,100,20,345,2,Traffic,1,True,24
Chinatown,CBoss,0.6151603499,20,25,20,345,2,Traffic,1,True,6
Chinatown,CBoss,0.2740524781,10,12,20,345,2,Traffic,1,True,3
Chinatown,TSF,0.9650145773000001,100,100,20,345,2,Traffic,1,True,24
Chinatown,TSF,0.9854227405,20,25,20,345,2,Traffic,1,True,6
Chinatown,TSF,0.9620991254000001,10,12,20,345,2,Traffic,1,True,3
Chinatown,TSF,0.9825072886,30,37,20,345,2,Traffic,1,True,9
Coffee,TSF,0.8214285714,30,30,28,28,2,SPECTRO,1,True,87
Coffee,TSF,0.8571428571,20,20,28,28,2,SPECTRO,1,True,58
Coffee,TSF,1.0,100,100,28,28,2,SPECTRO,1,True,286
Coffee,TSF,0.8928571429000001,10,10,28,28,2,SPECTRO,1,True,29
Coffee,ST,0.8571428571,20,20,28,28,2,SPECTRO,1,True,58
Coffee,ST,0.7142857143,10,10,28,28,2,SPECTRO,1,True,29
Coffee,ST,0.9642857143,30,30,28,28,2,SPECTRO,1,True,87
Coffee,ST,0.9285714286000001,100,100,28,28,2,SPECTRO,1,True,286
Coffee,PForest,0.6428571429000001,10,10,28,28,2,SPECTRO,1,True,29
Coffee,PForest,0.7142857143,30,30,28,28,2,SPECTRO,1,True,87
Coffee,PForest,1.0,100,100,28,28,2,SPECTRO,1,True,286
Coffee,PForest,0.5714285714,20,20,28,28,2,SPECTRO,1,True,58
Coffee,WEASEL,0.6428571429000001,30,30,28,28,2,SPECTRO,1,True,87
Coffee,WEASEL,1.0,100,100,28,28,2,SPECTRO,1,True,286
Coffee,WEASEL,0.9285714286000001,20,20,28,28,2,SPECTRO,1,True,58
Coffee,WEASEL,0.5357142857,10,10,28,28,2,SPECTRO,1,True,29
Coffee,CBoss,0.5357142857,10,10,28,28,2,SPECTRO,1,True,29
Coffee,CBoss,1.0,100,100,28,28,2,SPECTRO,1,True,286
Coffee,CBoss,0.9642857143,20,20,28,28,2,SPECTRO,1,True,58
Coffee,CBoss,0.9642857143,30,30,28,28,2,SPECTRO,1,True,87
DodgerLoopGame,TSF,0.4927536232,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopGame,TSF,0.8550724638,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopGame,TSF,0.5434782609000001,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopGame,TSF,0.5724637681,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopGame,ST,0.4782608696,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopGame,ST,0.8043478261,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopGame,ST,0.5434782609000001,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopGame,ST,0.5869565217,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopGame,PForest,0.5072463768000001,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopGame,PForest,0.4710144928,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopGame,PForest,0.9275362319,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopGame,PForest,0.5869565217,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopGame,WEASEL,0.7101449275,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopGame,WEASEL,0.4565217391,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopGame,WEASEL,0.5507246377,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopGame,WEASEL,0.5362318841,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopGame,CBoss,0.4927536232,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopGame,CBoss,0.4637681159,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopGame,CBoss,0.5434782609000001,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopGame,CBoss,0.5724637681,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,TSF,0.9782608696,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopWeekend,TSF,0.9710144928000001,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,TSF,0.9565217391,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopWeekend,TSF,0.9492753623,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopWeekend,ST,0.9565217391,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopWeekend,ST,0.6449275362,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopWeekend,ST,0.9710144928000001,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,ST,0.25362318840000003,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopWeekend,WEASEL,0.9130434783,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,WEASEL,0.2753623188,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopWeekend,WEASEL,0.2608695652,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopWeekend,WEASEL,0.2608695652,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopWeekend,CBoss,0.2753623188,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopWeekend,CBoss,0.2971014493,10,10,20,138,2,SENSOR,1,True,29
DodgerLoopWeekend,CBoss,0.268115942,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopWeekend,CBoss,0.9782608696,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,PForest,0.8695652174,30,30,20,138,2,SENSOR,1,True,87
DodgerLoopWeekend,PForest,0.9855072464,100,100,20,138,2,SENSOR,1,True,288
DodgerLoopWeekend,PForest,0.9202898551,20,20,20,138,2,SENSOR,1,True,58
DodgerLoopWeekend,PForest,0.8115942029000001,10,10,20,138,2,SENSOR,1,True,29
ECG200,TSF,0.85,100,100,100,100,2,ECG,1,False,96
