dataset,classifier,revealed_pct,train_size,test_size,num_classes,type,num_dim,balanced,length,f_score
ACSF1,TSF,100,100,100,10,DEVICE,1,True,1460,0.5977011494252873
ACSF1,TSF,20,100,100,10,DEVICE,1,True,1460,0.6837606837606838
ACSF1,TSF,10,100,100,10,DEVICE,1,True,1460,0.773972602739726
ACSF1,TSF,30,100,100,10,DEVICE,1,True,1460,0.6612903225806451
ACSF1,CBoss,20,100,100,10,DEVICE,1,True,1460,0.7476635514018691
ACSF1,CBoss,30,100,100,10,DEVICE,1,True,1460,0.7080536912751678
ACSF1,CBoss,100,100,100,10,DEVICE,1,True,1460,0.8780487804878049
ACSF1,CBoss,10,100,100,10,DEVICE,1,True,1460,0.7777777777777778
ACSF1,ST,20,100,100,10,DEVICE,1,True,1460,0.8163265306122449
ACSF1,ST,30,100,100,10,DEVICE,1,True,1460,0.8432835820895522
ACSF1,ST,100,100,100,10,DEVICE,1,True,1460,0.7846889952153111
ACSF1,ST,10,100,100,10,DEVICE,1,True,1460,0.803030303030303
ACSF1,WEASEL,30,100,100,10,DEVICE,1,True,1460,0.6842105263157896
ACSF1,WEASEL,20,100,100,10,DEVICE,1,True,1460,0.7619047619047619
ACSF1,Dummy,100,100,100,10,DEVICE,1,True,1460,0.08163265306122458
ACSF1,PForest,30,100,100,10,DEVICE,1,True,1460,0.37804878048780477
ACSF1,PForest,20,100,100,10,DEVICE,1,True,1460,0.4819277108433735
ACSF1,PForest,10,100,100,10,DEVICE,1,True,1460,0.6526717557251908
ACSF1,WEASEL,10,100,100,10,DEVICE,1,True,1460,0.7898550724637681
ACSF1,WEASEL,100,100,100,10,DEVICE,1,True,1460,0.8899755501222494
ACSF1,Dummy,10,100,100,10,DEVICE,1,True,1460,0.6538461538461539
ACSF1,Dummy,20,100,100,10,DEVICE,1,True,1460,0.47058823529411764
ACSF1,Dummy,30,100,100,10,DEVICE,1,True,1460,0.3571428571428571
AtrialFibrillation,PForest,20,15,15,3,ECG,2,True,640,0.600000000015
AtrialFibrillation,PForest,100,15,15,3,ECG,2,True,640,0.28571428568367363
AtrialFibrillation,PForest,30,15,15,3,ECG,2,True,640,0.4
AtrialFibrillation,PForest,10,15,15,3,ECG,2,True,640,0.7
AtrialFibrillation,TSF,10,15,15,3,ECG,2,True,640,0.6666666666666667
AtrialFibrillation,TSF,100,15,15,3,ECG,2,True,640,0.22535211270581235
AtrialFibrillation,TSF,20,15,15,3,ECG,2,True,640,0.5454545454421489
AtrialFibrillation,TSF,30,15,15,3,ECG,2,True,640,0.34375000001318357
AtrialFibrillation,CBoss,20,15,15,3,ECG,2,True,640,0.4799999999904
AtrialFibrillation,CBoss,100,15,15,3,ECG,2,True,640,0.16666666666666652
AtrialFibrillation,CBoss,30,15,15,3,ECG,2,True,640,0.43103448277467304
AtrialFibrillation,CBoss,10,15,15,3,ECG,2,True,640,0.6666666666666667
AtrialFibrillation,WEASEL,20,15,15,3,ECG,2,True,640,0.5454545454421489
AtrialFibrillation,WEASEL,100,15,15,3,ECG,2,True,640,0.22535211270581235
AtrialFibrillation,WEASEL,10,15,15,3,ECG,2,True,640,0.7142857142933674
AtrialFibrillation,WEASEL,30,15,15,3,ECG,2,True,640,0.43103448277467304
AtrialFibrillation,ST,20,15,15,3,ECG,2,True,640,0.4799999999904
AtrialFibrillation,ST,100,15,15,3,ECG,2,True,640,0.34782608695652173
AtrialFibrillation,ST,30,15,15,3,ECG,2,True,640,0.5384615384815088
AtrialFibrillation,ST,10,15,15,3,ECG,2,True,640,0.7142857142933674
AtrialFibrillation,Dummy,100,15,15,3,ECG,2,True,640,0.28571428568367363
AtrialFibrillation,Dummy,10,15,15,3,ECG,2,True,640,0.6874999999941407
AtrialFibrillation,Dummy,20,15,15,3,ECG,2,True,640,0.5454545454421489
AtrialFibrillation,Dummy,30,15,15,3,ECG,2,True,640,0.46428571426849496
BasicMotions,PForest,10,40,40,4,HAR,6,True,100,0.6739130434782608
BasicMotions,PForest,20,40,40,4,HAR,6,True,100,0.6153846153846154
BasicMotions,PForest,100,40,40,4,HAR,6,True,100,0.7058823529411764
BasicMotions,PForest,30,40,40,4,HAR,6,True,100,0.5588235294117647
BasicMotions,CBoss,20,40,40,4,HAR,6,True,100,0.8421052631578947
BasicMotions,CBoss,100,40,40,4,HAR,6,True,100,1.0
BasicMotions,CBoss,30,40,40,4,HAR,6,True,100,1.0
BasicMotions,CBoss,10,40,40,4,HAR,6,True,100,0.7105263157894737
BasicMotions,WEASEL,20,40,40,4,HAR,6,True,100,1.0
BasicMotions,WEASEL,100,40,40,4,HAR,6,True,100,1.0
BasicMotions,WEASEL,30,40,40,4,HAR,6,True,100,1.0
BasicMotions,WEASEL,10,40,40,4,HAR,6,True,100,0.75
BasicMotions,TSF,20,40,40,4,HAR,6,True,100,0.9696969696969697
BasicMotions,TSF,30,40,40,4,HAR,6,True,100,1.0
BasicMotions,TSF,10,40,40,4,HAR,6,True,100,0.8200000000000001
BasicMotions,TSF,100,40,40,4,HAR,6,True,100,1.0
BasicMotions,Dummy,100,40,40,4,HAR,6,True,100,0.21052631578947367
BasicMotions,Dummy,10,40,40,4,HAR,6,True,100,0.6739130434782608
BasicMotions,Dummy,20,40,40,4,HAR,6,True,100,0.5161290322580645
BasicMotions,Dummy,30,40,40,4,HAR,6,True,100,0.42307692307692313
Beef,TSF,20,30,30,5,SPECTRO,1,True,470,0.7272727272727273
Beef,TSF,30,30,30,5,SPECTRO,1,True,470,0.7272727272448347
Beef,TSF,100,30,30,5,SPECTRO,1,True,470,0.6511627906976745
Beef,TSF,10,30,30,5,SPECTRO,1,True,470,0.7857142857142858
Beef,ST,20,30,30,5,SPECTRO,1,True,470,0.5581395348967009
Beef,ST,30,30,30,5,SPECTRO,1,True,470,0.5384615384815088
Beef,ST,100,30,30,5,SPECTRO,1,True,470,0.761904761904762
Beef,ST,10,30,30,5,SPECTRO,1,True,470,0.6666666666666667
Beef,WEASEL,100,30,30,5,SPECTRO,1,True,470,0.761904761904762
Beef,CBoss,30,30,30,5,SPECTRO,1,True,470,0.5799999999784
Beef,CBoss,10,30,30,5,SPECTRO,1,True,470,0.6764705882404844
Beef,CBoss,100,30,30,5,SPECTRO,1,True,470,0.761904761904762
Beef,CBoss,20,30,30,5,SPECTRO,1,True,470,0.4999999999999999
Beef,PForest,10,30,30,5,SPECTRO,1,True,470,0.6714285714236735
Beef,PForest,100,30,30,5,SPECTRO,1,True,470,0.25531914893617025
Beef,PForest,30,30,30,5,SPECTRO,1,True,470,0.3709677419214359
Beef,PForest,20,30,30,5,SPECTRO,1,True,470,0.5106382978614759
Beef,WEASEL,10,30,30,5,SPECTRO,1,True,470,0.6578947368379501
Beef,WEASEL,30,30,30,5,SPECTRO,1,True,470,0.5
Beef,WEASEL,20,30,30,5,SPECTRO,1,True,470,0.5106382978614759
Beef,Dummy,100,30,30,5,SPECTRO,1,True,470,0.16666666666666652
Beef,Dummy,10,30,30,5,SPECTRO,1,True,470,0.6666666666666667
Beef,Dummy,20,30,30,5,SPECTRO,1,True,470,0.4999999999999999
Beef,Dummy,30,30,30,5,SPECTRO,1,True,470,0.4
Car,TSF,30,60,60,4,SENSOR,1,True,577,0.6612903225806451
Car,TSF,20,60,60,4,SENSOR,1,True,577,0.7164179104263756
Car,TSF,10,60,60,4,SENSOR,1,True,577,0.75
Car,TSF,100,60,60,4,SENSOR,1,True,577,0.6692607004254417
Car,ST,100,60,60,4,SENSOR,1,True,577,0.780876494061999
Car,ST,10,60,60,4,SENSOR,1,True,577,0.6874999999941407
Car,ST,30,60,60,4,SENSOR,1,True,577,0.6134020618327134
Car,ST,20,60,60,4,SENSOR,1,True,577,0.5925925925925926
Car,WEASEL,30,60,60,4,SENSOR,1,True,577,0.4557522124062966
Car,WEASEL,20,60,60,4,SENSOR,1,True,577,0.5393258427087488
Car,WEASEL,100,60,60,4,SENSOR,1,True,577,0.8387096774583767
Car,WEASEL,10,60,60,4,SENSOR,1,True,577,0.6846153846210651
Car,CBoss,30,60,60,4,SENSOR,1,True,577,0.5188679245090779
Car,CBoss,10,60,60,4,SENSOR,1,True,577,0.6846153846210651
Car,CBoss,20,60,60,4,SENSOR,1,True,577,0.5393258427087488
Car,CBoss,100,60,60,4,SENSOR,1,True,577,0.7999999999616001
Car,PForest,20,60,60,4,SENSOR,1,True,577,0.5333333333333334
Car,PForest,10,60,60,4,SENSOR,1,True,577,0.7142857142933674
Car,PForest,30,60,60,4,SENSOR,1,True,577,0.44736842105263164
Car,PForest,100,60,60,4,SENSOR,1,True,577,0.4280442804101252
Car,Dummy,100,60,60,4,SENSOR,1,True,577,0.18118466901868424
Car,Dummy,10,60,60,4,SENSOR,1,True,577,0.6690140845118032
Car,Dummy,20,60,60,4,SENSOR,1,True,577,0.5052631579053739
Car,Dummy,30,60,60,4,SENSOR,1,True,577,0.40756302522533727
Chinatown,PForest,30,20,345,2,Traffic,1,True,24,0.9748367790655302
